 inst#     actual  predicted error distribution (ID)
   208        2:1        1:2   +   *0.6,0.3,0.1 (15706)
   209        2:1        2:1       0,*1,0 (19187)
   210        2:1        2:1       0,*1,0 (1312)
   211        2:1        2:1       0,*1,0 (13626)
   212        2:1        2:1       0,*1,0 (11698)
   213        2:1        2:1       0,*1,0 (18101)
   214        2:1        2:1       0,*1,0 (18676)
   215        2:1        2:1       0.2,*0.6,0.2 (18278)
   216        2:1        2:1       0,*1,0 (6685)
   217        2:1        2:1       0,*1,0 (5583)
   218        2:1        2:1       0,*0.9,0.1 (14969)
   219        2:1        2:1       0.1,*0.9,0 (4995)
   220        2:1        2:1       0,*1,0 (11203)
   221        2:1        2:1       0.3,*0.7,0 (6527)
   222        2:1        2:1       0.1,*0.8,0.1 (16985)
   223        2:1        2:1       0.1,*0.8,0.1 (16425)
   224        2:1        2:1       0.1,*0.8,0.1 (14014)
   225        2:1        2:1       0.3,*0.6,0.1 (19394)
   226        2:1        2:1       0.1,*0.8,0.1 (12264)
   227        2:1        2:1       0,*0.8,0.2 (4560)
   228        2:1        2:1       0,*1,0 (15379)
   229        2:1        2:1       0.1,*0.9,0 (16510)
   230        2:1        2:1       0,*0.9,0.1 (7104)
   231        2:1        2:1       0,*1,0 (5338)
   232        2:1        2:1       0,*1,0 (8544)
   233        2:1        2:1       0.2,*0.8,0 (13722)
   234        2:1        2:1       0,*1,0 (14356)
   235        2:1        2:1       0,*1,0 (13957)
   236        2:1        2:1       0.2,*0.7,0.1 (16963)
   237        2:1        2:1       0,*1,0 (13402)
   238        2:1        1:2   +   *0.7,0.2,0.1 (2244)
   239        2:1        2:1       0,*1,0 (12852)
   240        2:1        2:1       0.1,*0.9,0 (12718)
   241        2:1        2:1       0,*0.9,0.1 (18899)
   242        2:1        2:1       0,*0.9,0.1 (6901)
   243        2:1        2:1       0,*1,0 (12310)
   244        2:1        2:1       0,*1,0 (14058)
   245        2:1        2:1       0.2,*0.6,0.2 (16581)
   246        2:1        2:1       0,*1,0 (10691)
   247        2:1        2:1       0,*0.9,0.1 (18198)
   248        2:1        2:1       0.1,*0.9,0 (17299)
   249        2:1        2:1       0.1,*0.9,0 (2709)
   250        2:1        2:1       0,*1,0 (11445)
   251        2:1        1:2   +   *0.5,0.3,0.2 (20098)
   252        2:1        2:1       0.2,*0.8,0 (15144)
   253        2:1        2:1       0.1,*0.9,0 (12579)
   254        2:1        2:1       0.1,*0.8,0.1 (13211)
   255        2:1        2:1       0.2,*0.7,0.1 (5124)
   256        2:1        2:1       0,*1,0 (17710)
   257        2:1        2:1       0,*1,0 (7292)
   258        2:1        2:1       0,*1,0 (6811)
   259        2:1        2:1       0,*0.9,0.1 (4442)
   260        2:1        2:1       0,*1,0 (16303)
   261        2:1        2:1       0.3,*0.6,0.1 (10141)
   262        2:1        2:1       0,*1,0 (13078)
   263        2:1        2:1       0.1,*0.9,0 (3174)
   264        2:1        2:1       0,*0.9,0.1 (3827)
   265        2:1        2:1       0.1,*0.6,0.3 (19430)
   266        2:1        2:1       0,*1,0 (14610)
   267        2:1        2:1       0,*1,0 (4487)
   268        2:1        2:1       0.2,*0.8,0 (3997)
   269        2:1        2:1       0,*1,0 (1421)
   270        2:1        2:1       0,*0.9,0.1 (12816)
   271        2:1        2:1       0.1,*0.8,0.1 (13750)
   272        2:1        2:1       0.1,*0.9,0 (1701)
   273        2:1        2:1       0.2,*0.8,0 (2761)
   274        2:1        2:1       0,*0.9,0.1 (4466)
   275        2:1        2:1       0,*0.8,0.2 (15902)
