4245	2812
2079	851
1639	4143
926	4062
2451	474
3156	665
1797	3248
3820	4522
4282	1270
3516	3993
3739	3388
2412	2866
1740	2533
339	4334
1599	3341
4545	3191
2211	3061
2675	3366
1316	2593
1661	4334
844	1818
2992	946
1214	1432
424	2096
3427	4439
611	4309
4587	2147
840	943
688	1431
2710	625
4248	3982
2310	4035
1805	4580
3913	2619
24	3202
4533	4143
1272	2749
3591	2306
4485	3110
1927	3606
3913	2554
1587	3059
3107	1432
4364	4334
9	184
465	1228
1548	4132
4311	3090
3626	2918
815	2447
818	107
778	476
3700	4035
4627	1177
2278	1818
698	3293
103	128
2344	2493
1340	35
4342	476
3661	4228
4234	2812
2719	594
2178	4002
1513	4173
4422	1091
2722	2925
3735	280
2460	4143
3495	3721
170	2020
1791	2020
2035	124
2833	2634
3812	4631
1689	3900
869	2109
3502	3699
2002	2828
3123	3993
2069	2126
1726	2654
271	2541
4238	2466
2193	4228
2205	2749
3138	4258
2234	1194
2905	3048
3625	2306
1827	141
2502	4073
502	2382
1747	202
1603	2828
4453	3226
978	2131
2925	989
2512	3221
942	2321
1694	2178
2816	1172
4240	969
1571	3483
2102	2812
6	2447
2379	3778
3648	3483
3921	899
234	476
1892	1056
3658	232
3913	4044
4364	907
4394	579
2157	107
2236	184
3550	2672
590	476
620	3118
3023	81
2402	3836
4041	351
4067	1828
1791	3289
3500	1411
3188	1177
285	1297
1403	2758
481	1432
3846	2071
3122	1674
2584	3953
1769	4160
1512	3659
1827	54
3197	1056
1644	1243
2182	4544
928	494
4095	1806
4467	933
3337	476
147	2894
4328	4064
4268	2519
173	625
4048	382
1288	3017
712	359
1812	4129
3330	3418
3434	3118
2134	2382
64	4339
273	2988
1512	2564
2730	555
2839	2793
200	2087
2903	29
4459	4459
999	98
3538	2779
773	1432
1785	4334
3427	2316
908	207
3161	4149
1836	515
4595	4644
3121	956
832	3412
3814	1806
2992	4320
480	3341
4453	4309
3897	1177
2725	1431
852	2306
2508	288
1676	1194
3706	2634
4590	1172
1191	2175
1779	1818
908	3498
2902	4309
947	3973
168	2046
4164	3979
3406	943
2104	280
3790	3384
3654	2979
200	2610
1791	4568
2121	601
2216	1674
1409	2907
1362	4496
958	373
3519	1165
586	2977
2967	1718
935	4281
2962	1431
606	4125
541	2828
4281	3170
2416	629
709	1980
2084	1172
1970	4014
2556	1411
4503	2758
1024	223
724	1879
133	1348
3525	2686
1729	2175
3346	2672
596	2050
597	560
1366	1432
3820	2521
2814	402
2895	4212
3495	1862
1134	3341
2647	4638
2561	3385
926	2134
3677	4457
3122	2918
2741	1172
3151	3242
1603	2918
3348	1497
1201	1818
3013	4309
3568	1968
764	3054
1201	2533
2542	1818
2645	136
3457	2203
1146	4438
2475	2475
2934	66
411	2672
2184	3699
3672	412
4195	1432
775	1431
2744	2091
2499	4334
3013	3170
2296	3766
2985	3973
3550	2175
1303	1784
4029	297
3895	2306
1491	3680
497	2175
2678	847
1997	1610
234	1432
2130	2561
1277	3606
2725	412
204	1165
3655	98
2346	1497
64	64
1609	2217
2863	1074
2589	4294
794	4375
3120	2812
2227	2885
1898	869
4332	1432
3752	4035
1698	141
1867	943
3947	1818
1603	399
1639	3366
3960	4082
4472	476
4169	2800
1191	601
2843	1085
61	3090
572	1431
4213	2235
4148	1682
4233	4438
323	81
1332	3783
4453	3788
3598	35
4324	601
3842	4106
215	2398
4047	3240
1641	3973
664	207
3234	3666
16	1818
2612	3407
3292	1957
1327	625
1743	1090
456	2088
3954	476
2575	1367
960	909
1866	3504
1617	943
3879	4595
2681	4339
903	3555
3082	3242
3694	485
307	2812
1872	98
1263	1748
597	621
3280	4233
1986	3973
3338	3836
4195	134
3258	943
1638	946
1970	1959
1807	2273
3520	459
29	4334
2249	1411
1474	2260
3616	3472
2170	4132
858	3836
957	600
4078	2918
1491	3836
370	1818
3495	738
4196	3993
3391	207
4041	124
1039	3158
2344	4025
2448	4295
591	3594
4164	677
4010	4310
2681	1806
1570	2521
4067	3555
2711	4334
903	1411
3177	3639
3853	124
3614	4187
2702	1811
3101	4497
4034	3357
4049	3061
2690	3247
3173	35
3094	2979
3645	662
1124	4281
3474	3090
212	3569
1538	3877
4529	4035
711	1177
89	3671
813	3681
902	625
4494	4338
3931	3623
532	2374
3206	601
48	4533
3921	1818
3824	184
4332	2828
3013	1407
3667	412
316	625
180	324
733	2918
1017	3973
1324	471
3438	3242
1979	254
316	1432
3687	1818
2051	476
4499	3982
125	1407
64	19
2402	3819
272	1729
1345	2533
2053	1411
2628	1502
277	1219
679	385
2585	1602
248	4317
4648	2493
287	3544
1517	2374
1011	4428
4488	4595
4281	107
1215	738
726	3594
2612	2983
1569	863
1279	3159
64	1823
1024	3836
2424	2131
3966	3487
2484	1431
3793	476
466	1721
2412	625
2006	2044
3655	476
1403	1177
2247	4281
2648	4457
4154	3594
465	465
4182	4340
2856	3384
3715	943
3420	1673
1617	3993
3731	1957
4269	2672
3605	725
4024	3240
1094	4377
1785	1808
2032	1811
4056	2717
523	1194
935	1118
2816	1818
3116	4487
1872	1818
4420	1315
2185	3017
346	3005
3357	3525
3376	476
2772	3594
4428	1411
1994	1348
4333	3061
4033	14
1049	594
2491	207
2367	1414
743	4033
1386	4401
809	1806
2662	2323
2220	889
2098	4459
2932	4252
4164	1689
2877	2103
1573	3404
1724	2588
2856	4305
505	2806
1791	3726
2491	662
4007	3365
1414	2134
1434	128
2315	2577
3161	1811
3479	2073
3551	1494
1911	2812
4312	1771
2950	2053
1272	4012
4150	2046
3750	1034
170	1674
842	2588
2065	918
3687	3993
2596	233
2597	3539
2054	652
3655	2533
3066	1118
2088	3114
1156	476
2355	3027
4453	3977
4013	1194
4022	1583
2213	4304
1663	4408
4074	1672
4607	1109
1832	3836
341	399
2912	1407
2377	404
4394	212
4245	601
934	1457
2094	351
245	1480
2087	2398
1517	412
1179	2453
2512	456
2169	3993
3677	4129
2147	3555
2745	1263
827	1818
2032	4334
1587	1721
2082	373
1350	969
1970	64
683	4468
3162	1411
2461	3993
4190	3674
4311	4334
960	3025
1345	1172
2948	2564
609	3227
2808	1991
79	3320
2418	2979
3184	2690
3263	382
716	4320
1155	3993
3719	1431
3907	3061
587	3973
1994	4653
4276	2092
2896	2787
1746	2521
2987	64
1970	4258
4280	4035
3733	3639
1353	2918
3997	1060
600	4563
960	3017
3631	2681
2669	1811
200	2554
430	210
2781	1691
3919	1109
165	210
985	1968
2351	4286
100	2843
1729	1818
456	4044
3165	107
1791	814
3661	3483
608	4644
3174	601
2127	4260
3736	3689
93	1012
498	3670
2814	2399
3118	3586
2369	3624
4131	3407
421	4281
3691	3878
259	4073
152	1691
4642	970
2828	4624
1496	969
2379	3866
4162	3953
232	1346
64	4228
3520	3407
4411	2554
481	2828
370	1131
2577	652
2523	4445
4538	943
1666	2914
3365	4580
890	3457
3334	485
1075	2235
2074	3674
146	2866
3121	2654
500	476
3830	3695
296	3366
2190	3498
481	4035
4162	2166
1443	2672
39	2050
3064	645
1800	4644
4126	2577
341	601
3944	726
2811	1165
421	4035
4281	4228
1168	943
3013	107
1015	1404
3674	2374
4247	1806
2439	3162
4601	4437
3751	4069
1782	3819
4409	2828
144	1270
563	3819
3197	1497
367	163
2719	4387
